Common name English,Taxon
Southern right whale,Eubalaena australis
Pygmy sperm whale,Kogia breviceps
Dwarf sperm whale,Kogia sima
Humpback whale,Megaptera novaeangliae
Killer whale,Orcinus orca
Sperm whale,Physeter macrocephalus
False killer whale,Pseudorca crassidens
Pan-tropical spotted dolphin,Stenella attenuata
Rough toothed dolphins,Steno bredanensis
Bottlenose dolphin,Tursiops truncatus
Black noddy,Anous minutus
Brown noddy,Anous stolidus
Bulwer's petrel,Bulweria bulwerii
Lesser frigatebird,Fregata ariel
Great frigatebird,Fregata minor
White tern/Fairy tern,Gygis alba
Madeiran storm petrels,Oceanodroma castro
Sooty tern,Onchyprion fuscata
White-faced storm petrel,Pelagodroma marina
Red-billed tropicbird,Phaethon aethereus
Sooty shearwater,Puffinus griseus
Sargasso shearwater,Puffinus lherminieri
Masked booby,Sula dactylatra
Brown booby,Sula leucogaster
Red-footed booby,Sula sula
Arctic Skua,Stercorarius parasiticus
Pomarine Skua,Stercorarius pomarinus
Wahoo,Acanthocybium solandri
Thresher shark,Alopias vulpinus
Silky shark,Carcharhinus falciformis
Galapagos shark,Carcharhinus galapagensis
Oceanic whitetip shark,Carcharhinus longimanus
Dolphinfish,Coryphaena spp.
Pompano dolphinfish,Coryphaena equiselis
Other sharks n.i.,Elasmobranchii
Black marlin,Istiompax indica
Marlins n.i.,Istiophoridae
Shortfin mako,Isurus oxyrinchus
Atlantic white marlin,Kajikia albida
Skipjack tuna,Katsuwonus pelamis
Blue marlin,Makaira nigricans
Blue shark,Prionace glauca
Whale shark,Rhincodon typus
"Mackerels, tunas, bonitos",Scombridae n.i.
Yellowtail,Seriola lalandi
Almaco jack,Seriola rivoliana
Hammerhead shark,Sphyrna spp.
Albacore,Thunnus alalunga
Yellowfin tuna,Thunnus albacares
Bigeye tuna,Thunnus obesus
Tuna n.i.,Thunnus spp.
Swordfish,Xiphias gladius
Island Hogfish/Parrotfish,Bodianus insularis
Deep-water bullseye,Cookeolus japonicus
Rock hind grouper,Epinephelus adscensionis
Spotted moray,Gymnothorax moringa
Glasseye snapper,Heteropriacanthus cruentatus
Squirrelfish,Holocentrus adscensionis
Other moray eels,Muraenidae
Blackbar soldierfish,Myripristis jacobus
Ocean triggerfish,Canthidermis sufflamen
St Helena butterflyfish,Chromis sanctaehelenae
Brown chromis,Chromis miltilineata
Mackerel scad/Kingston,Decapterus macarellus
Stonebrass scad,Decapterus muroadsi
Round scad/Summer stonebrass,Decapterus punctatus
Rainbow runner,Elagatis bipinnulata
Pufferfish,Lagocephalus lagocephalus
Mackerel,Scomber japonicus/colias
Bigeye scad/Steenbrass,Selar crumenophthalmus
Bastard cavalley pilot,Stegastes sanctaehelenae
Greenfish,Thalassoma sanctaehelenae
Common octopus,Octopus occidentalis
Brown spiny lobster,Panulirus echinatus
Stump lobster,Scyllarides obtusus
